trial_id,scenario_id,model_type,seed,recommended_strategy,executed_action,fallback_used,decision_latency_ms
trial_b590486f4e09,sen4_edge2_clouddb,hybrid_game_llm,42,observe,observe,False,114015.87550598197
trial_ef7eb5908479,sen4_edge2_clouddb,hybrid_game_llm,42,observe,observe,False,39884.460617089644
trial_f314b67f024b,sen4_edge2_clouddb,hybrid_game_llm,42,observe,observe,False,27650.06013493985
trial_72c313b373f3,sen4_edge2_clouddb,hybrid_game_llm,42,observe,observe,False,27933.759607000866
trial_2dc4e6b4950c,sen4_edge2_clouddb,hybrid_game_llm,42,observe,observe,False,28138.718715985306
trial_763180945fb4,sen4_edge2_clouddb,hybrid_game_llm,42,quarantine_sensor,quarantine_sensor,False,39617.92553201667
trial_120dbd1ce089,sen4_edge2_clouddb,hybrid_game_llm,42,quarantine_sensor,quarantine_sensor,False,100160.14618199551
trial_070b20ca4afd,sen4_edge2_clouddb,hybrid_game_llm,42,quarantine_sensor,quarantine_sensor,False,107690.78220799565
trial_7246f492a43c,sen4_edge2_clouddb,hybrid_game_llm,42,quarantine_sensor,quarantine_sensor,False,107788.4044010425
trial_e191dafd491b,sen4_edge2_clouddb,hybrid_game_llm,42,quarantine_sensor,quarantine_sensor,False,109172.1379350056
